team,bestScore,worstScore,totalScore,bestPoints,worstPoints,totalPoints,wins,losses,ties,streak,beststreak
Alemannia Aachen,61,30,688,65,31,659,182,185,113,3,5
Bayreuth SpVgg,54,54,54,42,42,42,11,18,9,2,2
Blau-Weiß 1890 Berlin,55,46,101,56,49,105,24,19,33,2,3
Braunschweig,65,20,583,67,23,624,163,192,135,1,5
Darmstadt 98,48,26,453,59,25,450,112,150,114,3,4
Fortuna Köln,56,37,492,69,35,465,116,131,117,2,6
Hannover 96,93,31,1402,75,21,1308,347,389,267,1,6
Hertha BSC,82,34,1508,76,17,1512,411,378,279,1,6
Hessen Kassel,35,35,35,46,46,46,13,18,7,3,3
MSV Duisburg,70,31,1271,83,22,1241,323,347,272,1,5
Meppen,52,35,347,62,27,373,89,101,106,1,3
Preußen Münster,45,35,80,49,37,86,21,32,23,1,2
RW Essen,49,34,258,57,29,238,58,94,64,2,4
SC Freiburg,102,30,1535,92,18,1509,411,403,276,5,8
Saarbrücken,58,30,442,61,25,434,111,128,101,2,4
Schalke 04,74,18,1547,80,13,1647,448,343,303,1,6
Stuttgarter Kickers,68,31,486,72,34,492,131,138,99,2,5
Unterhaching,58,33,547,63,35,583,152,179,127,2,5
VfL Osnabrück,63,25,442,55,26,385,96,160,97,2,4
Wattenscheid 09,70,31,416,72,29,367,91,129,94,1,5
FC 08 Homburg,53,27,246,61,31,261,65,81,66,2,5
Havelse,44,44,44,25,25,25,6,25,7,1,1
Mainz 05,66,29,1449,64,26,1438,380,378,298,2,7
Schweinfurt,30,26,56,24,15,39,8,49,15,1,1
VfB Oldenburg,58,33,148,46,27,119,28,55,35,2,3
Waldhof Mannheim,66,27,557,76,25,567,147,143,126,3,5
1. FC Lokomotive Leipzig,66,29,290,80,20,295,76,95,67,1,5
1860 München,63,19,1117,66,23,1111,293,317,232,2,5
Chemnitzer,64,24,280,69,16,302,77,94,71,1,4
FC Carl Zeiss Jena,66,28,349,69,29,339,83,103,90,3,4
Hallescher FC,27,27,27,25,25,25,5,7,10,2,2
Rot-Weiss Erfurt,34,21,55,30,10,40,9,34,13,1,1
FC Remscheid,50,50,50,42,42,42,9,22,15,2,2
FC St. Pauli,72,31,1218,64,22,1210,314,346,268,3,5
Fortuna Düsseldorf,64,26,914,63,28,920,237,277,209,1,5
Hansa Rostock,66,30,875,65,27,867,227,287,186,3,4
Wolfsburg,80,33,1480,69,33,1419,381,339,276,4,10
Wuppertaler SV,55,44,99,61,41,102,26,34,24,1,3
KFC Uerdingen 05,49,33,345,65,26,340,83,136,91,1,5
Tennis Borussia,47,42,131,54,33,127,32,43,31,2,4
VfL Bochum,69,30,1528,69,27,1455,389,413,288,2,8
FSV Frankfurt,55,29,362,54,15,330,84,144,78,2,3
Nürnberg,68,26,1369,65,19,1353,357,413,282,1,7
Zwickau,39,32,137,49,28,154,39,60,37,3,5
Arminia Bielefeld,68,22,1026,68,20,983,254,301,221,1,8
VfB Lübeck,51,32,170,44,36,163,43,59,34,2,3
Eintracht Frankfurt,76,31,1591,68,32,1512,406,386,294,5,6
Gutersloh,43,39,125,55,37,137,35,35,32,1,3
Kaiserslautern,74,24,1439,68,23,1451,392,323,275,2,7
Energie Cottbus,65,30,721,58,25,716,190,242,146,1,4
Greuther Fürth,73,26,1158,70,21,1187,317,256,236,1,7
Karlsruher SC,69,27,1246,70,25,1240,320,349,280,2,5
Köln,84,26,1536,68,22,1443,386,415,285,2,6
